Section,Subsection,,Link(s),Title,Author(s),Affiliation,PMID,PMCID,PubDate,MeSH,Abstract,PubType
,,Glomerulopathies after vaccination against covid-19: four cases with three different vaccines in Argentina: https://pubmed.ncbi.nlm.nih.gov/34728874/,https://pubmed.ncbi.nlm.nih.gov/34728874 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8553382/,Glomerulopathies after vaccination against COVID-19. Four cases with three different vaccines in Argentina.,"Fernández, Pehuén; Alaye, María Luján; Chiple, María Emilia García; Arteaga, Javier De; Douthat, Walter; Fuente, Jorge De La; Chiurchiu, Carlos","Servicio de nefrología, Hospital Privado Universitario de Córdoba, Córdoba, Argentina.; Instituto Universitario de Ciencias Biomédicas de Córdoba (IUCBC), Córdoba, Argentina.; Servicio de nefrología, Hospital Privado Universitario de Córdoba, Córdoba, Argentina.; Instituto Universitario de Ciencias Biomédicas de Córdoba (IUCBC), Córdoba, Argentina.; Servicio de anatomía patológica, Hospital Privado Universitario de Córdoba, Córdoba, Argentina.; Servicio de nefrología, Hospital Privado Universitario de Córdoba, Córdoba, Argentina.; Instituto Universitario de Ciencias Biomédicas de Córdoba (IUCBC), Córdoba, Argentina.; Fundación Nefrológica de Córdoba, Córdoba, Argentina.; Servicio de nefrología, Hospital Privado Universitario de Córdoba, Córdoba, Argentina.; Instituto Universitario de Ciencias Biomédicas de Córdoba (IUCBC), Córdoba, Argentina.; Fundación Nefrológica de Córdoba, Córdoba, Argentina.; Servicio de nefrología, Hospital Privado Universitario de Córdoba, Córdoba, Argentina.; Instituto Universitario de Ciencias Biomédicas de Córdoba (IUCBC), Córdoba, Argentina.; Fundación Nefrológica de Córdoba, Córdoba, Argentina.; Servicio de nefrología, Hospital Privado Universitario de Córdoba, Córdoba, Argentina.; Instituto Universitario de Ciencias Biomédicas de Córdoba (IUCBC), Córdoba, Argentina.; Fundación Nefrológica de Córdoba, Córdoba, Argentina.",34728874,PMC8553382,2021-09-25 00:00:00,,,Vaccine Publication

,,Rheumatology/Endocrinology/Orthopedics,Rheumatology/Endocrinology/Orthopedics:
,,General:
,,Hyper-inflammation after COVID-19 mRNA vaccination: at the cross roads of multi-inflammatory disease and adult onset still’s disease,Hyper-inflammation after COVID-19 mRNA vaccination: at the cross roads of multi-inflammatory disease and adult onset still’s disease: 
,,Immune mediated disease flares: https://pubmed.ncbi.nlm.nih.gov/33946748/,https://pubmed.ncbi.nlm.nih.gov/33946748 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8146571/,Immune-Mediated Disease Flares or New-Onset Disease in 27 Subjects Following mRNA/DNA SARS-CoV-2 Vaccination.,"Watad, Abdulla; De Marco, Gabriele; Mahajna, Hussein; Druyan, Amit; Eltity, Mailam; Hijazi, Nizar; Haddad, Amir; Elias, Muna; Zisman, Devy; Naffaa, Mohammad E; Brodavka, Michal; Cohen, Yael; Abu-Much, Arsalan; Abu Elhija, Muhanad; Bridgewood, Charlie; Langevitz, Pnina; McLorinan, Joanna; Bragazzi, Nicola Luigi; Marzo-Ortega, Helena; Lidar, Merav; Calabrese, Cassandra; Calabrese, Leonard; Vital, Edward; Shoenfeld, Yehuda; Amital, Howard; McGonagle, Dennis","Department of Medicine 'B, Zabludowicz Center for Autoimmune Diseases, Sheba Medical Center, Tel-Hashomer 10457, Israel.; Sackler Faculty of Medicine, Tel-Aviv University, Tel-Aviv 69978, Israel.; Rheumatology Unit, Sheba Medical Center, Tel-Hashomer 10457, Israel.; NIHR, Leeds Biomedical Research Centre, The Leeds Teaching Hospitals NHS Trust & Leeds Institute of Rheumatic and Musculoskeletal Medicine, University of Leeds, Leeds LS9 7TF, UK.; NIHR, Leeds Biomedical Research Centre, The Leeds Teaching Hospitals NHS Trust & Leeds Institute of Rheumatic and Musculoskeletal Medicine, University of Leeds, Leeds LS9 7TF, UK.; Sackler Faculty of Medicine, Tel-Aviv University, Tel-Aviv 69978, Israel.; Gastroenterology Department, Sheba Medical Center, Tel-Aviv 10457, Israel.; Sackler Faculty of Medicine, Tel-Aviv University, Tel-Aviv 69978, Israel.; Rheumatology Unit, Sheba Medical Center, Tel-Hashomer 10457, Israel.; Department of Neurology, Sheba Medical Center, Tel-Aviv 10457, Israel.; Rheumatology Unit, Carmel Medical Center, Michal Street, Haifa 3436212, Israel.; Rheumatology Unit, Carmel Medical Center, Michal Street, Haifa 3436212, Israel.; Ruth and Bruce Rappaport Faculty of Medicine, Technion-Israel Institute of Technology, Haifa 3200003, Israel.; Rheumatology Unit, Carmel Medical Center, Michal Street, Haifa 3436212, Israel.; Ruth and Bruce Rappaport Faculty of Medicine, Technion-Israel Institute of Technology, Haifa 3200003, Israel.; Rheumatology Unit, Carmel Medical Center, Michal Street, Haifa 3436212, Israel.; Ruth and Bruce Rappaport Faculty of Medicine, Technion-Israel Institute of Technology, Haifa 3200003, Israel.; Department of Rheumatology, Galilee Medical Center, Azrieli Faculty of Medicine,; Sackler Faculty of Medicine, Tel-Aviv University, Tel-Aviv 69978, Israel.; Rheumatology Unit, Sheba Medical Center, Tel-Hashomer 10457, Israel.; Sackler Faculty of Medicine, Tel-Aviv University, Tel-Aviv 69978, Israel.; Rheumatology Unit, Sheba Medical Center, Tel-Hashomer 10457, Israel.; Leviev Heart Center, Sheba Medical Center, Tel Hashomer, Tel Aviv 10457, Israel.; Rheumatology Unit, Carmel Medical Center, Michal Street, Haifa 3436212, Israel.; Ruth and Bruce Rappaport Faculty of Medicine, Technion-Israel Institute of Technology, Haifa 3200003, Israel.; NIHR, Leeds Biomedical Research Centre, The Leeds Teaching Hospitals NHS Trust & Leeds Institute of Rheumatic and Musculoskeletal Medicine, University of Leeds, Leeds LS9 7TF, UK.; Sackler Faculty of Medicine, Tel-Aviv University, Tel-Aviv 69978, Israel.; Rheumatology Unit, Sheba Medical Center, Tel-Hashomer 10457, Israel.; Department of Rheumatology, Mid Yorkshire Hospitals, West Yorkshire WF8 1PL, UK.; Centre for Disease Modelling, Department of Mathematics and Statistics, York University, Toronto, ON M3J 1P3, Canada.; Fields-CQAM Laboratory of Mathematics for Public Health (MfPH), York University, Toronto, ON M3J 1P3, Canada.; NIHR, Leeds Biomedical Research Centre, The Leeds Teaching Hospitals NHS Trust & Leeds Institute of Rheumatic and Musculoskeletal Medicine, University of Leeds, Leeds LS9 7TF, UK.; Sackler Faculty of Medicine, Tel-Aviv University, Tel-Aviv 69978, Israel.; Rheumatology Unit, Sheba Medical Center, Tel-Hashomer 10457, Israel.; Cleveland Clinic Foundation, 9500 Euclid Avenue, Desk A50, Cleveland, OH 44195, USA.; Cleveland Clinic Foundation, 9500 Euclid Avenue, Desk A50, Cleveland, OH 44195, USA.; NIHR, Leeds Biomedical Research Centre, The Leeds Teaching Hospitals NHS Trust & Leeds Institute of Rheumatic and Musculoskeletal Medicine, University of Leeds, Leeds LS9 7TF, UK.; Department of Medicine 'B, Zabludowicz Center for Autoimmune Diseases, Sheba Medical Center, Tel-Hashomer 10457, Israel.; Sackler Faculty of Medicine, Tel-Aviv University, Tel-Aviv 69978, Israel.; Department of Medicine 'B, Zabludowicz Center for Autoimmune Diseases, Sheba Medical Center, Tel-Hashomer 10457, Israel.; Sackler Faculty of Medicine, Tel-Aviv University, Tel-Aviv 69978, Israel.; Rheumatology Unit, Sheba Medical Center, Tel-Hashomer 10457, Israel.; NIHR, Leeds Biomedical Research Centre, The Leeds Teaching Hospitals NHS Trust & Leeds Institute of Rheumatic and Musculoskeletal Medicine, University of Leeds, Leeds LS9 7TF, UK.",33946748,PMC8146571,2021-04-29 00:00:00,,BACKGROUND: Infectious diseases and vaccines can occasionally cause new-onset or flare of immune-mediated diseases (IMDs). The adjuvanticity of the available,Vaccine Publication
,,Local and systemic reactogenicity of Pfizer in patients with systemic lupus and rheumatoid arthritis: https://pubmed.ncbi.nlm.nih.gov/34476603/,https://pubmed.ncbi.nlm.nih.gov/34476603 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8412379/,Local and systemic reactogenicity of COVID-19 vaccine BNT162b2 in patients with systemic lupus erythematosus and rheumatoid arthritis.,"Bartels, Lars Erik; Ammitzbøll, Christian; Andersen, Jakob Bøgh; Vils, Signe Risbøl; Mistegaard, Clara Elbæk; Johannsen, Anders Dahl; Hermansen, Marie-Louise From; Thomsen, Marianne Kragh; Erikstrup, Christian; Hauge, Ellen-Margrethe; Troldborg, Anne","Department of Rheumatology, Aarhus University Hospital, Palle Juul-Jensens Boulevard 59, Entrance E, 8200, Aarhus, Denmark.; Department of Rheumatology, Aarhus University Hospital, Palle Juul-Jensens Boulevard 59, Entrance E, 8200, Aarhus, Denmark. chramm@rm.dk.; Department of Clinical Medicine, Aarhus University, Aarhus, Denmark. chramm@rm.dk.; Department of Rheumatology, Aarhus University Hospital, Palle Juul-Jensens Boulevard 59, Entrance E, 8200, Aarhus, Denmark.; Department of Rheumatology, Aarhus University Hospital, Palle Juul-Jensens Boulevard 59, Entrance E, 8200, Aarhus, Denmark.; Department of Biomedicine, Aarhus University, Aarhus, Denmark.; Department of Rheumatology, Aarhus University Hospital, Palle Juul-Jensens Boulevard 59, Entrance E, 8200, Aarhus, Denmark.; Department of Biomedicine, Aarhus University, Aarhus, Denmark.; Department of Clinical Medicine, Aarhus University, Aarhus, Denmark.; Department of Rheumatology, Aarhus University Hospital, Palle Juul-Jensens Boulevard 59, Entrance E, 8200, Aarhus, Denmark.; Department of Rheumatology, Aarhus University Hospital, Palle Juul-Jensens Boulevard 59, Entrance E, 8200, Aarhus, Denmark.; Department of Clinical Microbiology, Aarhus University Hospital, Aarhus, Denmark.; Department of Clinical Medicine, Aarhus University, Aarhus, Denmark.; Department of Clinical Immunology, Aarhus University Hospital, Aarhus, Denmark.; Department of Clinical Medicine, Aarhus University, Aarhus, Denmark.; Department of Rheumatology, Aarhus University Hospital, Palle Juul-Jensens Boulevard 59, Entrance E, 8200, Aarhus, Denmark.; Department of Clinical Medicine, Aarhus University, Aarhus, Denmark.; Department of Rheumatology, Aarhus University Hospital, Palle Juul-Jensens Boulevard 59, Entrance E, 8200, Aarhus, Denmark.; Department of Biomedicine, Aarhus University, Aarhus, Denmark.; Department of Clinical Medicine, Aarhus University, Aarhus, Denmark.",34476603,PMC8412379,2021-11-01 00:00:00,"Aged; Arthritis, Rheumatoid/complications/*immunology; BNT162 Vaccine; COVID-19/*prevention & control; COVID-19 Vaccines/administration & dosage/*adverse effects/immunology; Case-Control Studies; Female; Humans; Lupus Erythematosus, Systemic/complications/*immunology; Male; Middle Aged; Patient Reported Outcome Measures; SARS-CoV-2; Vaccination/adverse effects","Vaccines against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) were launched in December 2020. Vaccination of patients with rheumatic diseases is recommended, as they are considered at higher risk of severe COVID-19 than the general population. Patients with rheumatic disease have largely been excluded from vaccine phase 3 trials. This study explores the safety and reactogenicity of BNT162b2 among patients with rheumatic diseases. Patients with systemic lupus erythematosus (SLE) and rheumatoid arthritis (RA), median age 58.8 years, 285 subjects in total, were vaccinated twice with the BNT162b2 (Pfizer/BioNTech). Questionnaires on reactogenicity matching the original phase 3 study were answered seven days after completed vaccination. The majority of SLE and RA patients experienced either local (78.0%) or systemic reactions (80.1%). Only 1.8% experienced a grade-4 reaction. Compared to the original study, we found more frequent fatigue [Odds ratio (OR) 2.2 (1.7-2.8)], headache [OR 1.7 (1.3-2.2)], muscle pain [OR 1.8 (1.4-2.3)], and joint pain [OR 2.3 (1.7-3.0)] in patients. In contrast, the use of antipyretics was less frequent [OR 0.5 (0.3-0.6)]. Patients with SLE and RA experience reactogenicity to the",Vaccine Publication
,,Incidence of disease flare after Pfizer vaccination in patients with rheumatoid arthritis in remission: https://pubmed.ncbi.nlm.nih.gov/34472714/,https://pubmed.ncbi.nlm.nih.gov/34472714 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8652957/,Incidence of Disease Flare After BNT162b2 Coronavirus Disease 2019 Vaccination in Patients With Rheumatoid Arthritis in Remission.,"Bixio, Riccardo; Bertelle, Davide; Masia, Marco; Pistillo, Francesca; Carletto, Antonio; Rossini, Maurizio","University of Verona Hospital Trust, Verona, Italy.; University of Verona Hospital Trust, Verona, Italy.; University of Verona Hospital Trust, Verona, Italy.; University of Verona Hospital Trust, Verona, Italy.; University of Verona Hospital Trust, Verona, Italy.; University of Verona Hospital Trust, Verona, Italy.",34472714,PMC8652957,2021-12-01 00:00:00,,,Vaccine Publication
,,11% of patients with rheumatic and MSK diseases report disease flare following 2 dose mRNA vaccination: https://pubmed.ncbi.nlm.nih.gov/34346185/,https://pubmed.ncbi.nlm.nih.gov/34346185 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8712346/,Disease Flare and Reactogenicity in Patients With Rheumatic and Musculoskeletal Diseases Following Two-Dose SARS-CoV-2 Messenger RNA Vaccination.,"Connolly, Caoilfhionn M; Ruddy, Jake A; Boyarsky, Brian J; Barbur, Iulia; Werbel, William A; Geetha, Duvuru; Garonzik-Wang, Jacqueline M; Segev, Dorry L; Christopher-Stine, Lisa; Paik, Julie J","Johns Hopkins University, Baltimore, Maryland.; Johns Hopkins University, Baltimore, Maryland.; Johns Hopkins University, Baltimore, Maryland.; Johns Hopkins University, Baltimore, Maryland.; Johns Hopkins University, Baltimore, Maryland.; Johns Hopkins University, Baltimore, Maryland.; Johns Hopkins University, Baltimore, Maryland.; Johns Hopkins University, Baltimore, Maryland.; Johns Hopkins University, Baltimore, Maryland.; Johns Hopkins University, Baltimore, Maryland.",34346185,PMC8712346,2022-01-01 00:00:00,2019-nCoV Vaccine mRNA-1273/administration & dosage/*adverse effects; Adult; BNT162 Vaccine/administration & dosage/*adverse effects; COVID-19/immunology/*prevention & control; Female; Humans; Male; Middle Aged; Musculoskeletal Diseases/*immunology; Prospective Studies; Rheumatic Diseases/*immunology; SARS-CoV-2/immunology; Symptom Flare Up,"OBJECTIVE: To evaluate disease flare and postvaccination reactions (reactogenicity) in patients with rheumatic and musculoskeletal diseases (RMDs) following 2-dose SARS-CoV-2 messenger RNA (mRNA) vaccination. METHODS: RMD patients (n = 1,377) who received 2-dose SARS-CoV-2 mRNA vaccination between December 16, 2020 and April 15, 2021 completed questionnaires detailing local and systemic reactions experienced within 7 days of each vaccine dose (dose 1 and dose 2), and 1 month after dose 2, detailing any flares of RMD. Associations between demographic/clinical characteristics and flares requiring treatment were evaluated using modified Poisson regression. RESULTS: Among the patients, 11% reported flares requiring treatment; there were no reports of severe flares. Flares were associated with prior SARS-CoV-2 infection (incidence rate ratio [IRR] 2.09, P = 0.02), flares in the 6 months preceding vaccination (IRR 2.36, P < 0.001), and the use of combination immunomodulatory therapy (IRR 1.95, P < 0.001). The most frequently reported local and systemic reactions included injection site pain (87% after dose 1, 86% after dose 2) and fatigue (60% after dose 1, 80% after dose 2). Reactogenicity increased after dose 2, particularly for systemic reactions. No allergic reactions or SARS-CoV-2 diagnoses were reported. CONCLUSION: Flares of underlying RMD following SARS-CoV-2 vaccination were uncommon. There were no reports of severe flares. Local and systemic reactions typically did not interfere with daily activity. These early safety data can help address vaccine hesitancy in RMD patients.",Vaccine Publication

,,Macrophage Activation Syndrome:
,,Macrophage activation syndrome in a patient with adult-onset Still’s disease following first dose of Pfizer: https://pubmed.ncbi.nlm.nih.gov/34961551/,https://pubmed.ncbi.nlm.nih.gov/34961551 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8712099/,Macrophage activation syndrome in a patient with adult-onset Still's disease following first COVID-19 vaccination with BNT162b2.,"Muench, Frédéric; Krusche, Martin; Sander, Leif Erik; Rose, Thomas; Burmester, Gerd-Rüdiger; Schneider, Udo","Department of Nephrology and Medical Intensive Care, Charité - Universitätsmedizin Berlin, Berlin, Germany. frederic.muench@charite.de.; Department of Rheumatology and Immunology, Charité - Universitätsmedizin, Berlin, Germany.; Department of Rheumatology and Systemic Inflammatory Diseases, Universitätsklinikum Hamburg-Eppendorf, Hamburg, Germany.; Department of Infectious Diseases and Respiratory Medicine, Charité - Universitätsmedizin, Berlin, Germany.; Department of Rheumatology and Immunology, Charité - Universitätsmedizin, Berlin, Germany.; Department of Rheumatology and Immunology, Charité - Universitätsmedizin, Berlin, Germany.; Department of Rheumatology and Immunology, Charité - Universitätsmedizin, Berlin, Germany.",34961551,PMC8712099,2021-12-28 00:00:00,,BACKGROUND: Adult-onset Still's disease (AOSD) is an autoinflammatory,Vaccine Publication
